,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
2585,Trendlyne Technologies,2015,Bangalore,Financial Services,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,None,None,200000.0,validation,2018-01-01
2586,Planys Technologies,2015,Chennai,"Manufacturing, Oil and Gas, Robotics",Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,None,None,0.0,early traction,2018-01-01
2587,HealthPlix,2015,Bangalore,"Fitness, Health Care, Wellness",HealthPlix is a healthtech startup,None,None,3000000.0,early traction,2018-01-01
2588,dishq,2015,Bangalore,"Fitness, Health Care, Wellness",dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,None,None,400000.0,validation,2018-01-01
2589,Entropik Technology,2015,Bangalore,"Artificial Intelligence, Computer, Machine Learning",The boundaries between Human and Machines are shrinking fast.,None,None,1100000.0,validation,2018-01-01
2590,myHQ,2015,Delhi,"Collaboration, Communities, Coworking, Sharing Economy",myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,None,None,500000.0,early traction,2018-01-01
2591,Trell,2015,Bangalore City,"Collaboration, Communities, Coworking, Sharing Economy",Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,None,None,1250000.0,validation,2018-01-01
2592,Kidovators (by GyanLab),2015,Bangalore,"Big Data, EdTech, Machine Learning",Building future human capital through 21st Century Skills programs for K-12,None,None,180000.0,validation,2018-01-01
2593,Log 9 Materials,2015,Uttar Pradesh,Nanotechnology,Log 9 Materials is a nano-materials manufacturing and RnD startup,None,None,0.0,validation,2018-01-01
2594,VTION,2015,Gurgaon,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,None,None,0.0,validation,2018-01-01
2595,HousingMan.com,2015,Bangalore,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment","New Apartments, Flats for Sale in Bangalore",None,None,0.0,validation,2018-01-01
2596,Steradian Semiconductors,2015,Bangalore,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,None,None,0.0,validation,2018-01-01
