,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
1446,GoodGamer,2020,Bangalore,Gaming,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,Charles Creighton,None,0.0,validation,2020-01-01
1447,InnAccel,2012,Bangalore,Medtech,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",Siraj Dhanani,Mount Judi Ventures,0.0,early traction,2020-01-01
1448,Tiliter,2017,Sydney,Retail,Software that uses computer vision to recognise products without barcodes,"Chris Sampson, Marcel Herz, Martin Karafilis",AngelList,0.0,others,2020-01-01
1449,Slintel,2016,San Francisco,Sles and marketing,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.","Deepak Anchala, Rahul Bhattacharya, Ranjana TN",Accel,0.0,others,2020-01-01
1450,SoOLEGAL,2015,Delhi,Legal Technology,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",Manish Kaul,None,0.0,others,2020-01-01
1451,HobSpace,2019,Mumbai,Education Technology,India's Activity Hub for Kids,"Priya Goel Sheth, Harsh Jain",Artha Venture,0.0,validation,2020-01-01
1452,Supplynote,2015,Noida,Software-as-a-Service,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash",MOX,0.0,validation,2020-01-01
1453,Hire Me Car,2016,Noida,Automotive,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,Pankaj Sharma,None,0.0,validation,2020-01-01
1454,ShopUp,2017,Bangladesh,Business-to-Business E-commerce,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.","Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar",lourish Ventures,0.0,early traction,2020-01-01
1455,Harmonizer India,2019,Bangalore,Technology Startup,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",M R Srinivas,Kapil Dev,0.0,others,2020-01-01
1456,Zomato,2008,Gurgaon,Food and Beverages,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah",Kora,0.0,others,2020-01-01
1457,Dukaan,2020,Mumbai,Technology Startup,Developer of an android application designed for businesses to sell online.,"Subhash Choudhary, Suumit Shah",Lightspeed,0.0,validation,2020-01-01
1458,CredR,2014,Mumbai,Bike marketplace,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,"Nikhil Jain, Nittin Mittal, Sumit Chhazed",ight Roads Ventures,0.0,others,2020-01-01
1459,Satyukt,2018,Bangalore,Agricultural Technology,An agritech company that provides business to business (B2B) agricultural data,"Sat Tomer, Yukti Gill",NABVENTURES,0.0,validation,2020-01-01
1460,RACEnergy,2018,Hyderabad,Automobiles,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,"Arun Sreyas, Gautham Maheswaran",growX Ventures,0.0,others,2020-01-01
1461,TREAD,2020,Bangalore,Fitness startup,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,Dinesh Godara,Better Capital,0.0,validation,2020-01-01
1462,Anveshan,2019,Bangalore,Food and Beverages,Provide quality and healthy food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,0.0,validation,2020-01-01
1463,TeaMonk,2016,Bangalore,Food & Bevarages,India's Finest Specialty Tea company.,"Amit Dutta, Ashok Mittal",Lead Angels Network,0.0,early traction,2020-01-01
1464,Fleetx,2017,Gurgaon,Technology Startup,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.","Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra",ohit Bansal,0.0,early traction,2020-01-01
1465,ReNEWate,2018,Pune,Real Estate and Property Technology,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",Supratik Ghatak,eal Estate Accelerator Program,0.0,validation,2020-01-01
1466,Tango Eye,2018,Chennai,Software-as-a-Service,Retail Video Analytics SaaS product,Surender Gounder,iso Investments,0.0,validation,2020-01-01
1467,Rare Planet,2015,Kolkata,Retail,Rare Planet sells handicrafts made by local artisans.,"anodeep Saha, Vijay Kumar",Venture Catalysts,0.0,early traction,2020-01-01
1468,Avataa Me,2014,Bangalore,Augmented Reality and AR/VR,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,Gaurav Baid,Sequoia Capital India,0.0,early traction,2020-01-01
1469,Arrival,2015,London,EV startup,Arrival is a technology company that specializes in developing electric vehicles.,Denis Sverdlov,UPS Ventures,0.0,others,2020-01-01
1470,Cover Genius,2014,Sydney,Fintech,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,"Angus McDonald, Chris Bayley",King River Capital,0.0,others,2020-01-01
1471,Phononic Vibes,2018,Milano,Deep Technology,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.","Andrea Boeri, Braghin Francesco, Giovanni Capellari, Luca D'Alessandro, Stefano Caverni",None,0.0,others,2020-01-01
1472,MikeLegal,2017,Gurgaon,Legal Technology,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,"Tushar Bhargava, Anshul Gupta",SOSV,0.0,validation,2020-01-01
1473,Clair,2019,New York,Fintech,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,"Alex Kostecki, Erich Nussbaumer, Nico Simko",Upfront Ventures,0.0,validation,2020-01-01
1474,Gourmet Garden,1999,Palmwoods,Consumer Goods and Services,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,Arjun Balaji,Advent Partners,0.0,others,2020-01-01
1475,Miko,2015,Mumbai,Artificial Intelligence,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani",Stride Ventures,0.0,early traction,2020-01-01
1476,Razorpay,2014,Bangalore,Fintech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar",Tiger Global Management,0.0,early traction,2020-01-01
1477,Ninjacart,2015,Bangalore,Food and Beverages,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.","Ashutosh Vikram, Kartheeswaran K K, Sharath Loganathan, Thiru Nagarajan, Thirukumaran Nagarajan, Vasu Devan",Syngenta Ventures,0.0,others,2020-01-01
1478,Wow! Momo,2008,Kolkata,Food and Beverages,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman",Tiger Global Management,0.0,others,2020-01-01
1479,Pepper Content,2017,Mumbai,Content marketplace,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,"Anirudh Singla, Rishabh Shekhar",Alok Mittal,0.0,early traction,2020-01-01
1480,LIVSPACE,2014,Bangalore,Furniture and Home Decor,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.","Anuj Srivastava, Ramakant Sharma, Shagufta Anurag",Mercer Investments,0.0,others,2020-01-01
1481,Acculi Labs,2017,Bangalore,Healthcare,Acculi Labs is a clinical grade smartphone based diagnostic tool,"HariPrasath M., Rupam Das",Startup Basket.,0.0,validation,2020-01-01
1482,Your MD,2012,London,Healthcare,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,"Alessandro Traverso, Birger Lie, Harald Jellum, Matteo Berlucchi",Orkla Ventures,0.0,others,2020-01-01
1483,Antaios,2016,rance,Tech company,Developer of memory-based technology intended to solve issues of advanced computing.,Jean Pierre Nozieres,None,0.0,others,2020-01-01
1484,Unnati,2017,Noida,Agricultural Technology,A helping hand to the farming community through Artificial Intelligence,"Amit Sinha, Ashok Prasad",NABVENTURES,0.0,early traction,2020-01-01
1485,Disprz,2015,Chennai,Education Technology,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.","Kuljit Chadha, Subramanian Viswanathan",Xseed Partners,0.0,early traction,2020-01-01
1486,Uni,2004,Mumbai,Fintech,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,Nitin Gupta,Lightspeed India Partners,0.0,validation,2020-01-01
1487,Credit Wise Capital,1994,Mumbai,Fintech,CreditWise Capital is a consumer finance company.,"Hirak Joshi, Aalesh Avlani",Venture Catalysts,0.0,validation,2020-01-01
1488,Chargebee,2011,San Francisco,Software-as-a-Service,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan T",Accel,0.0,early traction,2020-01-01
1489,Reliance Retail Ventures Ltd,2006,Mumbai,Retail,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Mukesh Ambani,Silver Lake,0.0,others,2020-01-01
1490,Winuall,2019,Bangalore,Education Technology,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.","Ashwini Purohit, MS Chouhan",Amit Lakhotia,0.0,others,2020-01-01
1491,Genrobotics,2015,Trivandrum,Artificial Intelligence,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,"Arun George, Nikhil NP, Rashid Bin Abdulla, Vimal Govind MK",Unicorn India Ventures,0.0,others,2020-01-01
1492,Livve,2015,Cochin,Rental Services,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,Maya Lakshman,None,0.0,validation,2020-01-01
1493,Ergos,2012,Samastipur,Agricultural Technology,Ergos is building an integrated supply chain by setting up micro warehouses.,"Kishor Kumar Jha, Praveen Kumar",Aavishkaar Venture Capital,0.0,early traction,2020-01-01
1494,Krishitantra,2017,Hyderabad,Soil-Tech,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman",NABVENTURES,0.0,validation,2020-01-01
1495,PakkaProfile,2019,Bangalore,Recruitment and Staffing,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games","Nagmanjunath Shivakumar, Savio Sebastian",Java Capital,0.0,validation,2020-01-01
1496,Monet Networks,2014,Irvine,Artificial Intelligence,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,Anurag Bist,SenseAI Ventures,0.0,others,2020-01-01
1497,Unocoin,2013,Tumkur,Fintech,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.","Abhinand Kaseti, Harish B V, Sathvik Vishwanath, Sunny Ray",Digital FiNonece Group,0.0,early traction,2020-01-01
1498,Pesto,2017,Delhi,Education Technology,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,"Andrew Linfoot, Ayush Jaiswal",Sriharsha Majety,0.0,others,2020-01-01
1499,NirogStreet,2016,Gurgaon,Ayurveda tech,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,am N Kumar,Wavemaker Partners,0.0,early traction,2020-01-01
1500,Bambrew,2018,Bangalore,Packaging solution startup,Bambrew is an online shop for reusable bamboo straws.,Vaibhav Anant,Upsparks,0.0,validation,2020-01-01
1501,Omnify,2016,San Francisco,Software-as-a-Service,Omnify is a Global SaaS platform for Small Services Business,"Kabandi Saika, Manik Mehta",Saurabh Arora,0.0,early traction,2020-01-01
1502,Fanball XI,2015,Delhi,Gaming,The gaming company mostly focused on fantasy football games,Vinayak Seth,oxhog Ventures,0.0,validation,2020-01-01
1503,Treebo Hotels,2015,Bangalore,Hospitality,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.","Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta",amesh Mangaleswaran,0.0,others,2020-01-01
1504,GPS Renewables,2010,Bangalore,Cleantech,To solve the urban waste problem by utilising local technologies and business models.,"Mainak, Sreekrishna",Triodos,0.0,early traction,2020-01-01
1505,Public,2019,Delhi,Social Media,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,Azhar Iqubal,Lee Fixels Addition,0.0,others,2020-01-01
1506,Legal Salah,2015,Kolkata,Legal Technology,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,CA Abhinit Singh,I2I Capitals,0.0,validation,2020-01-01
1507,FanPlay,2018,Delhi,Gaming,FanPlay Technologies operates as a real-money gaming startup.,"Bharat Gupta, Pritesh Kumar",Core91 Fund,0.0,validation,2020-01-01
1508,ECOSTP,2017,Bangalore,Sanitation solutions,Eco friendly zero power zero maintenance sewage treatment plant in India.,"Simar Kohli, Tharun Kumar, Praseed KK",Terwilliger Centre,0.0,others,2020-01-01
1509,Coralogix,2013,San Francisco,Software-as-a-Service,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,"Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin",2B Angels,0.0,early traction,2020-01-01
1510,Equiwatt,2015,Newcastle Upon Tyne,Tech company,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,"Johnson Fernandes, Ravneet Kaur",ising Stars,0.0,others,2020-01-01
1511,Reliance Retail Ventures,2006,Mumbai,Business-to-Business E-commerce,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Mukesh Ambani,General Atlantic,0.0,others,2020-01-01
1512,Zhangmen,2005,Shanghai,Education Technology,Zhangmen is an online tutoring platform provides tutoring courses to students.,Yi Zhang,CICC Alpha,0.0,others,2020-01-01
1513,AgroWave,2017,Gurgaon,Agricultural Technology,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,Anu Meena,Sekhar Puli,0.0,others,2020-01-01
1514,Sapio Analytics,2018,Mumbai,Tech company,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,"Ashwin Srivastava, Hardik Somani",None,0.0,others,2020-01-01
1515,Taimei,2013,Jiaxing,HealthCare,Taimei Technology provides a cloud platform for clinical research collaboration.,Lu Zhao,Cowin Venture,0.0,others,2020-01-01
1516,Avanse Financial Services,2012,Mumbai,Fintech,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",Amit Gainda,International FiNonece Corporation,0.0,others,2020-01-01
1517,Industry Buying,2013,Delhi,Business-to-Business E-commerce,India's largest industrial ecommerce platform,"ahul Gupta, Swati Gupta",BlackSoil,0.0,others,2020-01-01
1518,Hopscotch,2011,Mumbai,Business-to-Business E-commerce,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",ahul Anand,Marc Lore,0.0,others,2020-01-01
1519,Pristyn Care,2018,Gurgaon,HealthCare,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,Harsimarbir (Harsh) Singh,Sequoia Capital India,0.0,others,2020-01-01
1520,WoodenStreet,2015,ajastan,Home Design,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,"Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat",IAN Fund,0.0,others,2020-01-01
1521,ACKO,2016,Mumbai,Insurance,Acko General Insurance is a private sector general insurance company in India.,"uchi Deepak, Varun Dua",PS Ventures,0.0,others,2020-01-01
1522,Farmers Fresh Zone,2015,Kochi,Agricultural Technology,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,Pradeep PS,Artha India Ventures,0.0,others,2020-01-01
1523,Invento,2016,Bangalore,Artificial Intelligence,Invento Robotics specializes in developing service robots intended for customer interactions.,"Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan",Chiripal Group,0.0,others,2020-01-01
1524,Infurnia,2014,Bangalore,Technology Startup,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,"Lovepreet Mann, Nikhil Kumar, Parul Jain",Pallav Nadhani,0.0,others,2020-01-01
1525,AnalytIQSports's SuperCric,2019,Bangalore,Entertainment,SuperCric is India's first strategy Cricket Manager simulation game,"Suhail Chandhok, Arvind Sivdas, Dhanya Param",None,0.0,others,2020-01-01
1526,Snowflake,2012,San Francisco,Tech company,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"Benoit Dageville, Bob Muglia, Marcin Zukowski, Thierry Cruanes",Salesforce Ventures,0.0,others,2020-01-01
1527,GenieTalk,2016,Indore,Tech company,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,"Santosh Kataria, Ankit Kimtee, Vivek Jain",None,0.0,others,2020-01-01
1528,Classplus,2018,Noida,Education Technology,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi",Spiral Ventures,0.0,others,2020-01-01
1529,Mobile Premier League,2018,Bangalore,Entertainment,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,"Sai Srinivas Kiran G, Shubham Malhotra",Sequoia Capital India,0.0,others,2020-01-01
1530,Fourth Partner Energy,2010,Hyderabad,Solar solution,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,"Saif Dhorajiwala, Vikas saluguti, Vivek Subramanian",responsAbility,0.0,others,2020-01-01
1531,Flipkart,2007,Bangalore,Business-to-Business E-commerce,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,"Binny Bansal, Sachin Bansal",Tencent Holdings,0.0,others,2020-01-01
1532,Vivriti Capital,2017,Chennai,Fintech,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar",Aspada,0.0,others,2020-01-01
1533,InsuranceDekho,2017,Ludhiana,Fintech,The funding for branding and marketing activities as well as strengthening the product and technology teams,Ankit Agrawal,GirnarSoft,0.0,others,2020-01-01
1534,BestDoc,2016,Kochi,HealthCare,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,"Afsal Salu, Fayaz Bin Abdu, Soudabi",None,0.0,others,2020-01-01
1535,Byju’s,2011,Bangalore,Education Technology,An Indian educational technology and online tutoring firm,Byju Raveendran,Owl Ventures,0.0,others,2020-01-01
1536,Melorra,2015,Bangalore,Jewellery startup,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,"Krishna Kumar, Saroja Yeramilli",Jamshed Jeejeebhoy,0.0,others,2020-01-01
1537,Reliance,1973,Mumbai,Multinational conglomerate company,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",Dhirubhai Ambani,acebook,0.0,others,2020-01-01
1538,Inflexor Ventures,2020,Mumbai,Fintech,Experienced Venture Capital-General Partner focused on Technology investments.,"Parampara Capital, Venkat Vallabhaneni, Jatin Desai",None,0.0,others,2020-01-01
1539,Pandorum,2011,Bangalore,Deeptech startup,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,Tuhin Bhowmick,021 Capital,0.0,others,2020-01-01
1540,SpeakIn,2018,Noida,Social Media,"AI-enabled network of speakers and thought leaders, aka. experts",Deepshikha Kumar,Homage Ventures.,0.0,others,2020-01-01
1541,LetsUp,2015,Mumbai,Media and Entertainment,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",Suhas raikar,None,0.0,others,2020-01-01
1542,Newsreach,2018,Gujarat,Media and Entertainment,NewsReach India offers partner publications a digital footprint,"Darshan Shah, Soniya Kundnani",Mumbai Angels,0.0,others,2020-01-01
1543,Dream11,2008,Mumbai,Entertainment,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,"Bhavit Sheth, Harsh Jain",Steadview Capital,0.0,others,2020-01-01
1544,SignalX,2018,Hyderabad,Software-as-a-Service,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",Govind Balachandran,None,0.0,others,2020-01-01
1545,JetSynthesys,2012,Mumbai,Tech,Gaming and entertainment startup,ajan Navani,Adar C. Poonawalla,0.0,others,2020-01-01
1546,Vesta Space Technology,2018,Pune,Technology Startup,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,Arun Kumar Sureban,None,0.0,others,2020-01-01
1547,Dozee,2015,Bangalore,Healthcare,Dozee offers health and wellness monitoring products.,Gaurav Parchani,None,0.0,others,2020-01-01
1548,Rebel Foods,2011,Pune,Food and Beverages,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin","Jaydeep Barman, Kallol Banerjee",Coatue Management,0.0,others,2020-01-01
1549,Nykaa,2012,Mumbai,Fashion and Lifestyle,Cosmetics & beauty products online,alguni Nayar,Steadview Capital,0.0,others,2020-01-01
1550,Ketto,2012,Mumbai,Financial Services,"Crowdfunding, Charity, E-commerce","Varun Sheth, Kunal Kapoor",Mumbai Angels,0.0,others,2020-01-01
1551,Suryoday,2008,Mumbai,Financial Services,Banks that extends two distinct fixed deposit schemes,. Baskar Babu,Gaja Capital,0.0,others,2020-01-01
1552,SucSEED,2016,Hyderabad,Financial Services,Venture Partners,Vikrant Varshney,DR. Moti Vyas,0.0,others,2020-01-01
1553,Unacademy,2015,Bangalore,Education Technology,Unacademy is an Indian online education technology company,"Gaurav Munjal, ?Roman Saini?",Nexus Venture Partners,0.0,others,2020-01-01
1554,Strata,2019,Bangalore,Real Estate and Property Technology,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments","Lodha, Priyanka Rathore",Propstack,0.0,others,2020-01-01
1555,3one4 Capital,2016,Bangalore,Venture capital,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,"Pranav Pai, Siddarth Pai",None,0.0,others,2020-01-01
1556,WE-Hub,2018,Hyderabad,Entreprenurship,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,Deepthi Ravula,None,0.0,others,2020-01-01
1557,Zomato,2008,Haryana,Food and Beverages,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah",MacRitchie Investments,0.0,others,2020-01-01
1558,Vicara,2017,Bangalore,Technology Startup,A deep tech startup pioneering in motion-based interfaces and insights.,"Abhishek Satish, Adarsh Warrier",None,0.0,others,2020-01-01
1559,Gaana,2010,Gurgaon,Entertainment,Gaana is a commercial music streaming service providing free and licensed music.,Pawan Agarwal,Tencent Holdings,0.0,others,2020-01-01
1560,EM3 Agri,2013,Noida,Agricultural Technology,A pioneering organization in the farming-as-a service (FaaS) space,"ohtash Mal CMD, Adwitiya",Global Innovation Fund,0.0,others,2020-01-01
1561,Plum,2013,Thane,"Cosmetics, Personal Care, and Beauty Products","Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",Shankar Prasad,onald Conway,0.0,others,2020-01-01
1562,Odwen,2018,Noida,Warehouse,India's first do-it-yourself warehouse management system.,Vijay Anand Bhagavatula,Prospect Partners.,0.0,others,2020-01-01
1563,Fasal,2018,Bangalore,Agricultural Technology,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,"Ananda Prakash Verma, Shailendra Tiwari",Omnivore,0.0,others,2020-01-01
1564,Trukky,2015,Ahmedabad,Supply Chain and Logistics,"Transportation, logistics services & cargo services.","Saswat Sahu, Rishi Raj",Mumbai Angels.,0.0,others,2020-01-01
1565,BankBazaar,2008,Chennai,Financial Services,Check your latest Credit Score and get your Credit Report online in India for Free,"Adhil Shetty, Arjun Shetty, Rati Shetty",amesh Srinivasan,0.0,others,2020-01-01
1566,Specsmakers,2011,Chennai,Eyeglasses,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",Pratik Shah,ight Roads Ventures,0.0,others,2020-01-01
1567,Grinntech,2013,Dehradun,Battery design,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability","Nikhilesh Mishra, Puneet Jain",Ashok Leyland,0.0,others,2020-01-01
1568,CreditMantri,2012,Chennai,Financial Services,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,"anjit Punja, R Sudarshan, Gowri Mukherjee",anjit Punja,0.0,others,2020-01-01
1569,Chai Waale,2018,Chennai,Beverage,Given the rising trend in the number of tea stalls in the city,Vidur Maheswari,Gunavanth Vaid,0.0,others,2020-01-01
1570,Deepsync,2018,Bangalore,Technology Startup,"Deepsync is a revolutionary way to record your content, without you really speaking.","Ishan Sharma, Rishikesh Kumar",Venkat Raju,0.0,others,2020-01-01
1572,ConnectedH,2016,Gurgaon,HealthCare,The company’s vision is simple – Connected Healthcare.,"Shubham Gupta, Suresh Singh",None,0.0,others,2020-01-01
1573,Reliance Retail,2006,Mumbai,Business-to-Business E-commerce,"Retailer delivering superior value to its customers, suppliers and shareholders.",Mukesh Ambani,Silver Lake Partners,0.0,others,2020-01-01
1574,QShala,2014,Bangalore,Education Technology,A platform that helps kids learn about life skills,"Sachin Ravi, Raghav Chakravarthy",None,0.0,others,2020-01-01
1575,Pitstop,2015,Bangalore,Automotive,"Pitstop owns and operates a network of garages that provides car repair, detailing",Mihir Mohan Mishra,Clairvest Group,0.0,others,2020-01-01
1577,Customfit ai,2019,Bangalore,Software-as-a-Service,Operates on a SaaS model by providing a hyper-personalised website to users.,"Ashwin Kumar, Shoaib Mohammed",None,0.0,others,2020-01-01
1578,Nirmata,2013,San Francisco,Tech,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,"Damien Toledo, Jim Bugwadia, Ritesh Patel",Damien Toledo,0.0,others,2020-01-01
1579,Hire Me Car,2015,Noida,TravelTech,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,Anmol Singh Jaggi,US based NRI Investors,0.0,validation,2020-01-01
1580,Oga Fit,2017,Bangalore,Fitness startup,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Ashish Rawat,Inflection Point Ventures,0.0,early traction,2020-01-01
1581,ShipsKart,2018,Delhi,Business-to-Business E-commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.","Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,0.0,early traction,2020-01-01
1582,SquadStack,2014,San Francisco,Tech company,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.","Apurv Agrawal, Kanika Jain, Rishabh Ladha, Vikas Gulati",Chiratae Ventures,0.0,early traction,2020-01-01
1583,Financepeer,2017,Mumbai,Education Technology,Financepeer is an AI based peer to peer lending platform.,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye",avi Sanghvi,0.0,early traction,2020-01-01
1584,Cashify,2009,Gurgaon,Business-to-Business E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar",Bessemer Venture Partners,0.0,others,2020-01-01
1585,Etrio,2017,Hyderabad,EV startup,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",Deepak MV,HNIs,0.0,early traction,2020-01-01
1586,Codeyoung,2019,Bangalore,Education Technology,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,"Shailendra Dhakad, Rupika Taneja",Guild Capital,0.0,validation,2020-01-01
1587,StayQrious,2020,Bangalore,Education Technology,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.","Aanand Srinivas, Avinash Anand, Shankar Ram A",Y Combinator,0.0,validation,2020-01-01
1588,Sunstone Eduversity,2014,Gurgaon,Education Technology,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,"Ashish Munjal, Piyush Nangru",Prime Venture Partners,0.0,early traction,2020-01-01
1589,Infilect,2015,Bangalore,Software-as-a-Service,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,"Anand Prabhu Subramanian, Vijay Gabale",Mela Ventures,0.0,early traction,2020-01-01
